id,date,text
1960754482368614895,2025-08-27 17:21:12+00:00,"🚨PRC-backed threat actors are exploiting provider &amp; customer edge routers to target #CriticalInfrastructure networks, including telecom, transportation, lodging, and military infrastructure. Check out our joint advisory and implement mitigations.🔗 https://t.co/9HIw8lQlg9 https://t.co/VVvvUebrTx"
1960441368288887020,2025-08-26 20:37:00+00:00,🛡️ We added Citrix NetScaler memory overflow vulnerability CVE-2025-7775 to our Known Exploited Vulnerabilities Catalog. Visit https://t.co/myxOwap1Tf &amp; apply mitigations to protect your org from cyberattacks. #Cybersecurity #InfoSec https://t.co/RoAsd78WFH
1960394571608633818,2025-08-26 17:31:02+00:00,"🚨 Citrix just patched 3 critical NetScaler flaws—one (CVE-2025-7775) is already under active attack.  Hackers can hijack systems (RCE) or crash them. No workarounds, only updates.  Admins need to move fast.  Full details here → https://t.co/q6UGg8BAMJ"
1960348303372992640,2025-08-26 14:27:11+00:00,⚠️ Alerte CERT-FR ⚠️  La vulnérabilité CVE-2025-7775 est activement exploitée et permet d'effectuer une exécution de code arbitraire à distance sur toutes les versions de Citrix NetScaler ADC et NetScaler Gateway. Un correctif est disponible.  https://t.co/t1Jbz9kFnS
1960219632901537815,2025-08-26 05:55:54+00:00,"CISA just flagged 3 new actively exploited flaws—two in Citrix Session Recording, one in Git.  The Git bug (CVE-2025-48384) can let attackers run arbitrary code just by cloning a repo. Proof-of-concept exploit is already out.  Here’s what you need to know ↓ https://t.co/GC6Gj0ew55"
1960052621777281321,2025-08-25 18:52:15+00:00,"🛡️ We added Citrix and Git vulnerabilities CVE-2024-8068, CVE-2024-8069, &amp; CVE-2025-48384 to our Known Exploited Vulnerabilities Catalog. Visit https://t.co/myxOwapzIN &amp; apply mitigations to protect your org from cyberattacks. #Cybersecurity #InfoSec https://t.co/0Huzp9iADZ"
1960038252263494057,2025-08-25 17:55:09+00:00,"🚨 Critical flaw in Docker Desktop (CVE-2025-9074, 9.3/10) lets a malicious container escape and hijack the host.  On Windows, attackers can mount the full C:\ drive, read sensitive files, even escalate to admin. macOS safer—but not safe.  Patch now (v4.44.3). Details → https://t.co/6tQ7FURbFp"
1959954202018406657,2025-08-25 12:21:10+00:00,The bad news didn’t wait:  💥 Password managers cracked ⚠️ Zero-days exploited live ☁️ Clouds breached 🤖 AI risks emerging 🌐 Governments cracking down  This week’s cyber recap is unmissable → https://t.co/Fiwwe7XKkr
1959158640784429329,2025-08-23 07:39:54+00:00,"⚠️ Cyberattacks are shifting gears.  ➟ One crew hijacks GeoServer (CVE-2024-36401) to quietly sell your internet bandwidth.  ➟ Another builds PolarEdge, a 40k-device botnet hidden in firewalls &amp; routers.  ➟ And “Gayfemboy” — a Mirai offshoot — spreads across industries to fuel https://t.co/kXeqcUQROl"
1958620120986571133,2025-08-21 20:00:00+00:00,Kudos to @DARPA and AIxCC participants for showing the power behind AI! AI-enabled software can help identify and patch vulnerabilities in source code to better protect our nation's critical infrastructure. https://t.co/v4xugv5tut
